"Seed","MinLossMember","MinLossNonMember","Success","Error"
2026,0.00922311325003522,0.00179391021720792,FALSE,NA
2027,0.00039530926907478,0.648260324067332,TRUE,NA
2028,0.020459169589613,0.0414770331348113,TRUE,NA
2029,0.0313459202724153,0.000504920558002369,FALSE,NA
2030,0.00794199866121359,0.0534533449058466,TRUE,NA
2031,3.55831889756653e-07,0.00225638505311495,TRUE,NA
2032,0.0352685802715146,0.000118080903241517,FALSE,NA
2033,6.59458243060319e-05,0.00101247412825288,TRUE,NA
2034,6.59671411493868e-08,0.525306874525598,TRUE,NA
2035,0.0146071519214889,0.00188717135700868,FALSE,NA
2036,3.35828941410386e-08,0.000148546344021216,TRUE,NA
2037,0.000106141636371,0.000380261673745759,TRUE,NA
2038,7.22931726069504e-05,0.0348022796361377,TRUE,NA
2039,9.63673585374682e-14,0.000104275618719186,TRUE,NA
2040,2.66925436706627e-06,1.41900334752599e-06,FALSE,NA
2041,0.0988679267204937,0.0699965171763406,FALSE,NA
2042,7.86770731380405e-05,0.020322610108195,TRUE,NA
2043,1.17438501482079e-06,0.000212808171883905,TRUE,NA
2044,0.000523039735500628,0.00170236811002146,TRUE,NA
2045,5.56304230532538e-06,6.2641132355848e-08,FALSE,NA
2046,3.92455180945939e-05,0.121916260639685,TRUE,NA
2047,0.00284276207652547,0.0635581343403455,TRUE,NA
2048,0.000313767976595479,1.10345963048822e-05,FALSE,NA
2049,8.60000600821427e-05,0.00328629876180619,TRUE,NA
2050,4.74488084533494e-08,0.00635401269336825,TRUE,NA
2051,0.00207454658770083,5.2651807555936e-05,FALSE,NA
2052,5.73111690020787e-07,0.00929869006203672,TRUE,NA
2053,0.00766472149746298,0.000225745510927271,FALSE,NA
2054,0.0205631686926129,0.000626980679767843,FALSE,NA
2055,2.2332387615881e-06,0.0489135518219148,TRUE,NA
2056,1.56271129759628e-06,1.25419304397962e-05,TRUE,NA
2057,2.35176944861732e-09,8.56762772206236e-10,FALSE,NA
2058,0.000402321913598694,0.0124938309710871,TRUE,NA
2059,0.000120960606303765,1.25282007340734e-05,FALSE,NA
2060,0.000127890049073533,1.60462463978338e-07,FALSE,NA
2061,2.02215560980995e-05,0.017635763548077,TRUE,NA
2062,0.0293064833615052,0.00239099437011425,FALSE,NA
2063,4.41468647989006e-06,3.30054850818414e-05,TRUE,NA
2064,0.000269291579543263,0.00241094473929124,TRUE,NA
2065,0.0440734334142782,0.000115036971890133,FALSE,NA
2066,2.72822622795549e-05,3.3477087967836e-06,FALSE,NA
2067,0.0748851338436056,0.000876949749283698,FALSE,NA
2068,1.64063672236939e-05,0.0018804985421687,TRUE,NA
2069,0.00086986910843597,0.000210310219422428,FALSE,NA
2070,3.18400728512381e-09,1.62164001948406,TRUE,NA
2071,0.000475315006025182,0.000969775931107239,TRUE,NA
2072,7.94547107476011e-08,0.0175490522608203,TRUE,NA
2073,0.00118715743848294,0.000268130274713004,FALSE,NA
2074,0.00174689084124587,1.96359187489019,TRUE,NA
2075,7.65115685629826e-06,0.00610340945413296,TRUE,NA
2076,1.92084198879802e-05,0.0362773228687583,TRUE,NA
2077,2.74702455060847e-05,1.45301391165837e-06,FALSE,NA
2078,0.00564777898441195,1.79137236062843,TRUE,NA
2079,6.71130220885391e-05,0.0119046107656466,TRUE,NA
2080,2.42786313570626e-09,0.0290125555449195,TRUE,NA
2081,0.000391557992945144,0.00724886921380803,TRUE,NA
2082,7.72531923783277e-06,1.24767725818791e-08,FALSE,NA
2083,0.0186124790691678,0.351519098611062,TRUE,NA
2084,0.0376330109503921,1.2194506721208e-06,FALSE,NA
2085,1.35136530594982e-05,0.0240904118870138,TRUE,NA
2086,1.91536214939046e-05,0.000434964717693086,TRUE,NA
2087,1.35400154011342e-05,0.000199683959622891,TRUE,NA
2088,7.96690690786215e-05,2.51858062454724e-06,FALSE,NA
2089,0.0203467116492169,0.00423694626884903,FALSE,NA
2090,4.4419555373102e-06,0.00276840056088803,TRUE,NA
2091,0.00146611264759987,1.8245882870475e-07,FALSE,NA
2092,0.00431083717678665,3.05780918567432e-05,FALSE,NA
2093,0.000454795470553413,9.3044589698387e-08,FALSE,NA
2094,1.30846658969354e-06,0.00317903497930329,TRUE,NA
2095,2.80191133754756e-06,0.00872822354316065,TRUE,NA
2096,4.49051559708054e-05,1.4660814526836e-07,FALSE,NA
2097,0.000922741107605065,0.165986314105711,TRUE,NA
2098,3.7298486871622e-07,0.000109092420520118,TRUE,NA
2099,3.63433899223808e-06,0.00365352828638758,TRUE,NA
2100,8.87442823168473e-09,0.00983756389718525,TRUE,NA
2101,0.00374700127089321,5.56792253705994e-06,FALSE,NA
2102,1.80938201434616e-06,2.44118466015699e-06,TRUE,NA
2103,4.47895988575031e-06,5.01814513654681e-08,FALSE,NA
2104,0.000806406334048623,3.00838060292187e-05,FALSE,NA
2105,3.73483825556219e-07,0.000282729998524493,TRUE,NA
2106,0.00549124483963053,0.00753998952427624,TRUE,NA
2107,6.47661745044044e-05,3.13666663447546e-06,FALSE,NA
2108,0.0177506118568448,0.0282597442057719,TRUE,NA
2109,0.000956522423099089,5.39436002034724e-07,FALSE,NA
2110,0.00133343997307066,2.32610411848793e-05,FALSE,NA
2111,0.00655485906844237,0.0701866927934266,TRUE,NA
2112,0.0166879966005275,1.87128901966668e-06,FALSE,NA
2113,5.4864265551639e-05,0.013726313623195,TRUE,NA
2114,0.000125401468927322,0.00158447503118944,TRUE,NA
2115,0.00497018953006094,3.77910210320572e-06,FALSE,NA
2116,0.00775938424137658,3.60372380575499e-05,FALSE,NA
2117,2.41486676334358e-06,6.38791333464129e-07,FALSE,NA
2118,1.90597158730947e-05,0.219487363297192,TRUE,NA
2119,0.00213764247208617,0.0171668933479257,TRUE,NA
2120,0.0242673210540507,2.16882637695265,TRUE,NA
2121,0.000196065850416392,0.000147987039261706,FALSE,NA
2122,0.00606236291834725,1.34689816571003e-05,FALSE,NA
2123,0.00245416318515236,0.00748049107112626,TRUE,NA
2124,0.00115733600337765,0.00302728476839846,TRUE,NA
2125,1.1507409015061e-05,1.64906510837259e-06,FALSE,NA
2126,1.10886784950989e-05,0.00967448254957549,TRUE,NA
2127,2.80836224061446e-05,0.000963457048678022,TRUE,NA
2128,0.0216236751599529,0.00673271420095578,FALSE,NA
2129,0.00096652443433225,0.0134035959998524,TRUE,NA
2130,0.00189285207362225,0.0295233522821556,TRUE,NA
2131,0.000454486598201063,2.18574047752442e-11,FALSE,NA
2132,3.94963460109037e-07,0.171369546958083,TRUE,NA
2133,0.00498948069196688,0.000335696644020051,FALSE,NA
2134,0.000436484481320881,1.91531556294434e-06,FALSE,NA
2135,1.07534438640373e-06,9.51517912589077e-05,TRUE,NA
2136,0.0222148461741387,3.28073731024214e-05,FALSE,NA
2137,0.00361286284148514,3.87137921830753e-06,FALSE,NA
2138,0.0265281724719436,0.0130920783262309,FALSE,NA
2139,3.61455999307937e-05,9.09891962169089e-07,FALSE,NA
2140,0.000379425750809061,4.67090588538729e-10,FALSE,NA
2141,0.196466102511343,0.000639424442930036,FALSE,NA
2142,0.000377079730950456,0.000562570594637482,TRUE,NA
2143,0.00145683538987841,0.0523066546197041,TRUE,NA
2144,0.00177979637349722,0.0690453512677705,TRUE,NA
2145,5.06287702701463e-05,9.39860618909201e-07,FALSE,NA
2146,0.0758519781367274,9.0628934803176e-06,FALSE,NA
2147,1.24290144808408e-05,0.523830083458863,TRUE,NA
2148,1.04022341075259e-05,0.0137137928240909,TRUE,NA
2149,0.000119869666153786,0.0007380444777966,TRUE,NA
2150,2.49278884982029e-06,0.000854269725996484,TRUE,NA
2151,0.000624909731549724,2.10366192700945e-06,FALSE,NA
2152,0.000229829823707946,0.0125047346755861,TRUE,NA
2153,0.00561059089360252,0.803720101794219,TRUE,NA
2154,0.00640332205862935,1.74548990507255e-07,FALSE,NA
2155,5.46444426140717e-06,0.00497268655450379,TRUE,NA
2156,5.72107498146017e-05,0.873772849620086,TRUE,NA
2157,8.33487187364474e-08,1.46651897145882e-06,TRUE,NA
2158,0.00920525883747638,0.363548463102273,TRUE,NA
2159,0.025348413245518,1.67687406478623e-08,FALSE,NA
2160,0.00182005432342829,0.0790323619943404,TRUE,NA
2161,1.4303839410955e-05,6.06527752551933e-07,FALSE,NA
