"pair_size","n","mean_final_size","empty_rate"
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
