"variant","pair_mean_FDP","pair_mean_Power","pair_mean_Size","final_mean_FDP","final_FDP_CI_low","final_FDP_CI_high","final_mean_Power","final_Power_CI_low","final_Power_CI_high","final_mean_Size","final_empty_rate"
"A: code theta input + code central logic",0.062201349869477,0.593173018137355,3.27246790299572,0.0622262575976658,0.0597057516889823,0.0647467635063493,0.59309150193601,0.588072516500239,0.59811048737178,3.272060321989,0.0283268799673935
"B: raw beta input + code central logic",0.0621435283576103,0.594028938251478,3.27623802730793,0.0621627752384834,0.0596440047370545,0.0646815457399123,0.593967801100469,0.588965728163851,0.598969874037086,3.27593234155288,0.0280211942123497
"C: raw beta input + paper Algorithm 1",0.0798935194619931,0.656164662726717,3.68055838597921,0.0796184022824536,0.0769263533441928,0.0823104512207145,0.655695944568983,0.650806980852942,0.660584908285024,3.67546362339515,0.0122274302017526
